-- Table: conference_infos
-- Generated: 2026-03-20 12:00:50

+-------------------+---------------+------+-----+---------------------+-------------------------------+
| Field             | Type          | Null | Key | Default             | Extra                         |
+-------------------+---------------+------+-----+---------------------+-------------------------------+
| id                | bigint(20)    | NO   | PRI |                     | auto_increment                |
| old_id            | bigint(20)    | YES  | MUL |                     |                               |
| name              | varchar(256)  | YES  |     |                     |                               |
| sub_title         | varchar(256)  | YES  |     |                     |                               |
| summary           | text          | YES  |     |                     |                               |
| images            | varchar(128)  | YES  |     |                     |                               |
| cat               | smallint(6)   | YES  |     |                     |                               |
| key_notes         | text          | YES  |     |                     |                               |
| user_id           | bigint(20)    | YES  | MUL |                     |                               |
| old_user_id       | bigint(20)    | YES  | MUL |                     |                               |
| status            | bigint(20)    | YES  | MUL | 1                   |                               |
| created_at        | timestamp     | YES  |     | current_timestamp() |                               |
| updated_at        | timestamp     | YES  |     |                     | on update current_timestamp() |
| deleted_at        | timestamp     | YES  |     |                     |                               |
| image_list        | varchar(256)  | YES  |     |                     |                               |
| old_image_list    | varchar(256)  | YES  | MUL |                     |                               |
| log               | text          | YES  |     |                     |                               |
| conf1_video       | text          | YES  |     |                     |                               |
| conf1_images      | varchar(1024) | YES  |     |                     |                               |
| conf1_image_title | varchar(256)  | YES  |     |                     |                               |
| conf1_timesheet   | text          | YES  |     |                     |                               |
| conf1_keynote     | varchar(1024) | YES  |     |                     |                               |
| conf1_name        | varchar(256)  | YES  |     |                     |                               |
| conf2_name        | varchar(256)  | YES  |     |                     |                               |
| conf2_keynote     | varchar(1024) | YES  |     |                     |                               |
| conf2_timesheet   | text          | YES  |     |                     |                               |
| conf2_images      | varchar(1024) | YES  |     |                     |                               |
| conf2_image_title | varchar(128)  | YES  |     |                     |                               |
| conf2_video       | text          | YES  |     |                     |                               |
| conf3_video       | text          | YES  |     |                     |                               |
| conf3_images      | varchar(1024) | YES  |     |                     |                               |
| conf3_image_title | varchar(128)  | YES  |     |                     |                               |
| conf3_timesheet   | text          | YES  |     |                     |                               |
| conf3_keynote     | varchar(1024) | YES  |     |                     |                               |
| conf3_name        | varchar(256)  | YES  |     |                     |                               |
| video_bottom      | varchar(1024) | YES  |     |                     |                               |
| supporters        | varchar(128)  | YES  |     |                     |                               |
| right_column      | text          | YES  |     |                     |                               |
| orders            | bigint(20)    | YES  | MUL | 0                   |                               |
+-------------------+---------------+------+-----+---------------------+-------------------------------+

39 columns
