-- Table: crm_messages
-- Generated: 2026-02-25 21:41:53

+----------------+--------------+------+-----+---------------------+-------------------------------+
| Field          | Type         | Null | Key | Default             | Extra                         |
+----------------+--------------+------+-----+---------------------+-------------------------------+
| id             | bigint(20)   | NO   | PRI |                     | auto_increment                |
| old_id         | bigint(20)   | YES  | MUL |                     |                               |
| name           | varchar(256) | YES  |     |                     |                               |
| user_id        | bigint(20)   | YES  | MUL |                     |                               |
| old_user_id    | bigint(20)   | YES  | MUL |                     |                               |
| status         | bigint(20)   | YES  | MUL |                     |                               |
| type           | tinyint(4)   | YES  | MUL |                     |                               |
| created_at     | timestamp    | YES  | MUL | current_timestamp() |                               |
| updated_at     | timestamp    | YES  |     |                     | on update current_timestamp() |
| deleted_at     | timestamp    | YES  |     |                     |                               |
| image_list     | varchar(256) | YES  |     |                     |                               |
| old_image_list | varchar(256) | YES  | MUL |                     |                               |
| log            | text         | YES  |     |                     |                               |
| msg_id         | bigint(20)   | YES  | MUL |                     |                               |
| cli_msg_id     | varchar(50)  | YES  |     |                     |                               |
| action_id      | varchar(50)  | YES  |     |                     |                               |
| msg_type       | varchar(20)  | YES  |     |                     |                               |
| uid_from       | varchar(50)  | YES  | MUL |                     |                               |
| id_to          | varchar(50)  | YES  | MUL |                     |                               |
| d_name         | varchar(255) | YES  |     |                     |                               |
| ts             | bigint(20)   | YES  | MUL |                     |                               |
| content        | text         | YES  |     |                     |                               |
| notify         | tinyint(4)   | YES  |     |                     |                               |
| ttl            | bigint(20)   | YES  |     |                     |                               |
| uin            | varchar(50)  | YES  |     |                     |                               |
| user_id_ext    | varchar(50)  | YES  |     |                     |                               |
| cmd            | bigint(20)   | YES  |     |                     |                               |
| st             | bigint(20)   | YES  |     |                     |                               |
| at             | bigint(20)   | YES  |     |                     |                               |
| real_msg_id    | varchar(50)  | YES  |     |                     |                               |
| thread_id      | varchar(50)  | YES  | MUL |                     |                               |
| is_self        | tinyint(1)   | YES  |     |                     |                               |
| property_ext   | longtext     | YES  |     |                     |                               |
| params_ext     | longtext     | YES  |     |                     |                               |
| channel_name   | varchar(32)  | YES  | MUL |                     |                               |
| user_id_remote | bigint(20)   | YES  |     |                     |                               |
+----------------+--------------+------+-----+---------------------+-------------------------------+

36 columns
