-- Table: event_and_users
-- Generated: 2026-02-28 23:12:23

+-----------------+--------------+------+-----+---------------------+-------------------------------+
| Field           | Type         | Null | Key | Default             | Extra                         |
+-----------------+--------------+------+-----+---------------------+-------------------------------+
| id              | bigint(20)   | NO   | PRI |                     | auto_increment                |
| old_id          | bigint(20)   | YES  | MUL |                     |                               |
| name            | varchar(256) | YES  |     |                     |                               |
| user_id         | bigint(20)   | YES  | MUL |                     |                               |
| old_user_id     | bigint(20)   | YES  | MUL |                     |                               |
| user_event_id   | bigint(20)   | YES  | MUL |                     |                               |
| event_id        | bigint(20)   | YES  |     |                     |                               |
| status          | bigint(20)   | YES  | MUL |                     |                               |
| created_at      | timestamp    | YES  |     | current_timestamp() |                               |
| updated_at      | timestamp    | YES  |     |                     | on update current_timestamp() |
| deleted_at      | timestamp    | YES  |     |                     |                               |
| image_list      | varchar(256) | YES  |     |                     |                               |
| old_image_list  | varchar(256) | YES  | MUL |                     |                               |
| log             | text         | YES  |     |                     |                               |
| sent_mail_at    | datetime     | YES  |     |                     |                               |
| sent_sms_at     | datetime     | YES  |     |                     |                               |
| confirm_join_at | datetime     | YES  |     |                     |                               |
| deny_join_at    | datetime     | YES  |     |                     |                               |
| attend_at       | datetime     | YES  |     |                     |                               |
| note            | text         | YES  |     |                     |                               |
| extra_info1     | varchar(256) | YES  |     |                     |                               |
| extra_info2     | varchar(256) | YES  |     |                     |                               |
| extra_info3     | varchar(256) | YES  |     |                     |                               |
| extra_info4     | varchar(256) | YES  |     |                     |                               |
| extra_info5     | varchar(256) | YES  |     |                     |                               |
| signature       | bigint(20)   | YES  |     |                     |                               |
+-----------------+--------------+------+-----+---------------------+-------------------------------+

26 columns
