-- Table: event_registers
-- Generated: 2026-02-25 21:41:56

+------------------+----------------+------+-----+---------------------+-------------------------------+
| Field            | Type           | Null | Key | Default             | Extra                         |
+------------------+----------------+------+-----+---------------------+-------------------------------+
| id               | bigint(20)     | NO   | PRI |                     | auto_increment                |
| old_id           | bigint(20)     | YES  | MUL |                     |                               |
| name             | varchar(256)   | YES  |     |                     |                               |
| user_id          | bigint(20)     | YES  | MUL |                     |                               |
| old_user_id      | bigint(20)     | YES  | MUL |                     |                               |
| user_event_id    | bigint(20)     | YES  | MUL |                     |                               |
| status           | bigint(20)     | YES  | MUL |                     |                               |
| created_at       | timestamp      | YES  |     | current_timestamp() |                               |
| updated_at       | timestamp      | YES  |     |                     | on update current_timestamp() |
| deleted_at       | timestamp      | YES  |     |                     |                               |
| image_list       | varchar(256)   | YES  |     |                     |                               |
| old_image_list   | varchar(256)   | YES  | MUL |                     |                               |
| log              | text           | YES  |     |                     |                               |
| event_id         | bigint(20)     | YES  | MUL |                     |                               |
| phone            | varchar(20)    | YES  |     |                     |                               |
| address          | varchar(255)   | YES  |     |                     |                               |
| organization     | varchar(255)   | YES  |     |                     |                               |
| note             | varchar(10240) | YES  |     |                     |                               |
| email            | varchar(256)   | YES  | MUL |                     |                               |
| first_name       | varchar(128)   | YES  |     |                     |                               |
| last_name        | varchar(128)   | YES  |     |                     |                               |
| reg_code         | varchar(128)   | YES  | MUL |                     |                               |
| reg_confirm_time | timestamp      | YES  |     |                     |                               |
| lang             | varchar(4)     | YES  |     |                     |                               |
| gender           | smallint(6)    | YES  |     |                     |                               |
| designation      | varchar(128)   | YES  |     |                     |                               |
| content_mail1    | text           | YES  |     |                     |                               |
| content_mail2    | text           | YES  |     |                     |                               |
| sub_event_list   | varchar(255)   | YES  |     |                     |                               |
+------------------+----------------+------+-----+---------------------+-------------------------------+

29 columns
