-- Table: event_send_info_logs
-- Generated: 2026-02-28 23:12:24

+------------------------------+---------------+------+-----+---------------------+-------------------------------+
| Field                        | Type          | Null | Key | Default             | Extra                         |
+------------------------------+---------------+------+-----+---------------------+-------------------------------+
| id                           | bigint(20)    | NO   | PRI |                     | auto_increment                |
| old_id                       | bigint(20)    | YES  | MUL |                     |                               |
| name                         | varchar(256)  | YES  |     |                     |                               |
| event_user_id                | bigint(20)    | YES  | MUL |                     |                               |
| event_id                     | bigint(20)    | YES  |     |                     |                               |
| type                         | varchar(10)   | YES  | MUL |                     |                               |
| status                       | smallint(6)   | YES  | MUL | 0                   |                               |
| created_at                   | timestamp     | YES  |     | current_timestamp() |                               |
| updated_at                   | timestamp     | YES  |     |                     | on update current_timestamp() |
| deleted_at                   | timestamp     | YES  |     |                     |                               |
| image_list                   | varchar(256)  | YES  |     |                     |                               |
| old_image_list               | varchar(256)  | YES  | MUL |                     |                               |
| log                          | mediumtext    | YES  |     |                     |                               |
| title_email                  | varchar(1024) | YES  |     |                     |                               |
| content                      | text          | YES  |     |                     |                               |
| content_sms                  | varchar(2048) | YES  | MUL |                     |                               |
| session_id                   | varchar(64)   | YES  | MUL |                     |                               |
| sms_unique_session           | varchar(64)   | YES  | MUL |                     |                               |
| comment                      | text          | YES  |     |                     |                               |
| send_or_get                  | varchar(10)   | YES  |     |                     |                               |
| count_success                | bigint(20)    | YES  |     |                     |                               |
| user_id                      | bigint(20)    | YES  | MUL |                     |                               |
| old_user_id                  | bigint(20)    | YES  | MUL |                     |                               |
| last_app_sms_request_to_send | timestamp     | YES  |     |                     |                               |
| done_at                      | varchar(50)   | YES  |     |                     |                               |
| phone_send                   | varchar(20)   | YES  |     |                     |                               |
| count_retry_send             | bigint(20)    | YES  |     | 0                   |                               |
+------------------------------+---------------+------+-----+---------------------+-------------------------------+

27 columns
