-- Table: file_uploads
-- Generated: 2026-03-20 12:00:56

+----------------+--------------+------+-----+---------------------+-------------------------------+
| Field          | Type         | Null | Key | Default             | Extra                         |
+----------------+--------------+------+-----+---------------------+-------------------------------+
| id             | bigint(20)   | NO   | PRI |                     | auto_increment                |
| old_id         | bigint(20)   | YES  | MUL |                     |                               |
| id__           | varchar(32)  | YES  | UNI |                     |                               |
| name           | varchar(256) | NO   |     |                     |                               |
| user_id        | bigint(20)   | YES  | MUL |                     |                               |
| old_user_id    | bigint(20)   | YES  | MUL |                     |                               |
| created_at     | timestamp    | YES  |     | current_timestamp() |                               |
| deleted_at     | timestamp    | YES  | MUL |                     |                               |
| updated_at     | timestamp    | YES  |     |                     | on update current_timestamp() |
| file_path      | varchar(512) | YES  |     |                     |                               |
| file_size      | bigint(20)   | YES  |     |                     |                               |
| log            | text         | YES  |     |                     |                               |
| parent_id      | bigint(20)   | YES  | MUL | 0                   |                               |
| old_parent_id  | bigint(20)   | YES  | MUL | 0                   |                               |
| cloud_id       | bigint(20)   | YES  | MUL |                     |                               |
| old_cloud_id   | bigint(20)   | YES  | MUL |                     |                               |
| md5            | varchar(32)  | YES  | MUL |                     |                               |
| crc32          | varchar(16)  | YES  | MUL |                     |                               |
| comment        | text         | YES  |     |                     |                               |
| mime           | varchar(128) | YES  |     |                     |                               |
| refer          | varchar(256) | YES  | MUL |                     |                               |
| count_download | bigint(20)   | YES  |     | 0                   |                               |
| idlink         | bigint(20)   | YES  |     |                     |                               |
| checksum       | varchar(32)  | YES  |     |                     |                               |
| link1          | varchar(32)  | YES  | MUL |                     |                               |
| ip_upload      | varchar(64)  | YES  |     |                     |                               |
+----------------+--------------+------+-----+---------------------+-------------------------------+

26 columns
