-- Table: order_infos
-- Generated: 2026-02-28 23:12:33

+-----------------------+---------------------------------------------+------+-----+---------------------+-------------------------------+
| Field                 | Type                                        | Null | Key | Default             | Extra                         |
+-----------------------+---------------------------------------------+------+-----+---------------------+-------------------------------+
| id                    | bigint(20)                                  | NO   | PRI |                     | auto_increment                |
| old_id                | bigint(20)                                  | YES  | MUL |                     |                               |
| name                  | varchar(256)                                | YES  |     |                     |                               |
| from_address          | varchar(256)                                | YES  |     |                     |                               |
| to_address            | varchar(256)                                | YES  |     |                     |                               |
| created_at            | timestamp                                   | YES  | MUL | current_timestamp() |                               |
| updated_at            | timestamp                                   | YES  |     |                     | on update current_timestamp() |
| deleted_at            | timestamp                                   | YES  |     |                     |                               |
| user_id               | bigint(20)                                  | YES  | MUL | 0                   |                               |
| old_user_id           | bigint(20)                                  | YES  | MUL | 0                   |                               |
| phone_request         | varchar(30)                                 | YES  |     |                     |                               |
| email_request         | varchar(50)                                 | YES  |     |                     |                               |
| note1                 | text                                        | YES  |     |                     |                               |
| user_id_post          | bigint(20)                                  | YES  |     |                     |                               |
| user_id_get           | bigint(20)                                  | YES  |     |                     |                               |
| service_require       | tinyint(4)                                  | YES  |     |                     |                               |
| start_time            | timestamp                                   | YES  |     |                     |                               |
| end_time              | timestamp                                   | YES  |     |                     |                               |
| money                 | bigint(20)                                  | YES  |     |                     |                               |
| done_at               | timestamp                                   | YES  |     |                     |                               |
| status                | smallint(6)                                 | YES  |     |                     |                               |
| image_list            | varchar(256)                                | YES  |     |                     |                               |
| old_image_list        | varchar(256)                                | YES  | MUL |                     |                               |
| order_status          | bigint(20)                                  | YES  |     | 0                   |                               |
| from_chanel           | text                                        | YES  |     |                     |                               |
| transaction_id_local  | varchar(64)                                 | YES  | MUL |                     |                               |
| transaction_id_remote | varchar(64)                                 | YES  | MUL |                     |                               |
| remote_ip             | varchar(32)                                 | YES  |     |                     |                               |
| comment               | varchar(1024)                               | YES  |     |                     |                               |
| usage_status          | enum('not_available','available','used','') | YES  |     |                     |                               |
| vendor_pay            | varchar(64)                                 | YES  |     |                     |                               |
+-----------------------+---------------------------------------------+------+-----+---------------------+-------------------------------+

31 columns
