-- Table: products
-- Generated: 2026-02-28 23:12:37

+----------------+--------------+------+-----+---------------------+-------------------------------+
| Field          | Type         | Null | Key | Default             | Extra                         |
+----------------+--------------+------+-----+---------------------+-------------------------------+
| id             | bigint(20)   | NO   | PRI |                     | auto_increment                |
| old_id         | bigint(20)   | YES  | MUL |                     |                               |
| name           | varchar(256) | NO   |     |                     |                               |
| user_id        | bigint(20)   | YES  |     |                     |                               |
| old_user_id    | bigint(20)   | YES  | MUL |                     |                               |
| deleted_at     | timestamp    | YES  |     |                     |                               |
| created_at     | timestamp    | YES  | MUL | current_timestamp() |                               |
| updated_at     | timestamp    | YES  |     |                     | on update current_timestamp() |
| status         | smallint(6)  | YES  | MUL |                     |                               |
| meta_desc      | text         | YES  |     |                     |                               |
| summary        | text         | YES  |     |                     |                               |
| content        | text         | YES  |     |                     |                               |
| price          | bigint(20)   | YES  |     |                     |                               |
| price1         | bigint(20)   | YES  |     |                     |                               |
| param1         | bigint(20)   | YES  |     |                     |                               |
| param2         | bigint(20)   | YES  |     |                     |                               |
| param3         | bigint(20)   | YES  |     |                     |                               |
| parent_id      | bigint(20)   | YES  | MUL |                     |                               |
| old_parent_id  | bigint(20)   | YES  | MUL |                     |                               |
| parent_extra   | varchar(255) | YES  |     |                     |                               |
| parent_all     | varchar(255) | YES  |     |                     |                               |
| old_parent_all | varchar(255) | YES  | MUL |                     |                               |
| image_list     | varchar(256) | YES  |     |                     |                               |
| old_image_list | varchar(256) | YES  | MUL |                     |                               |
| orders         | smallint(6)  | YES  | MUL |                     |                               |
| meta           | text         | YES  |     |                     |                               |
| refer          | text         | YES  |     |                     |                               |
| tmp            | text         | YES  |     |                     |                               |
| type           | varchar(128) | YES  | MUL |                     |                               |
+----------------+--------------+------+-----+---------------------+-------------------------------+

29 columns
